Timestamp,"By clicking ""I agree"" below you are indicating that you are at least 18 years of age, have read the above, and agree to participate in this research activity. *","Which of the following statements comes closest to your view, even if neither is exactly right? ","In general, would you say that the content posted on social media provides an accurate picture of how society as a whole feels about important issues?", How FAIR do you think this type of program would be to consumers?,Do you think it is acceptable or not for the criminal justice system to use this type of program?,Do you think it is acceptable or not for companies to use this type of program when hiring job candidates?,Do you think it is acceptable or not for companies to use this type of program when hiring job candidates?,"Paying attention and reading the instructions carefully is critical. If you are paying attention, please choose Silver below.",What is your MTurk Worker's ID? *,What is your gender?,What is your age (in years)?,What is the highest degree or level of school you have completed?,"Are you of Hispanic, Latino, or Spanish origin such as Mexican, Chicano, Puerto Rican or Cuban?",Which of the following describes your race and/or ethnic background? Select one or more.,In what state do you live?,Thank you for your participation in this study.Remember this validation code: 117766. Write this down. You will need to enter your validation code into the MTurk HIT to receive payment.
6/18/2020 12:23:59,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Acceptable,Not Acceptable,Silver,A1WPB0UYYEV52D,Male,41,"Bachelor's degree (for example: BA, BS)",No,White,Ohio,117766
6/18/2020 12:24:06,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Not acceptable,Acceptable,Acceptable,Silver,A60NQCQFBBD6Z,Male,33,"Bachelor's degree (for example: BA, BS)",No,White,Arizona,117766
6/18/2020 12:24:36,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Acceptable,Not Acceptable,Silver,A2PIFMM4Q2I9ZS,Female,21,"Bachelor's degree (for example: BA, BS)",No,White,Texas,117766
6/18/2020 12:25:17,I agree,Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Not very fair,Acceptable,Acceptable,Acceptable,Silver,A3K9GTQBOI7O5A,Female,27,"Bachelor's degree (for example: BA, BS)",No,White,Massachusetts,117766
6/18/2020 12:26:36,I agree,It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,A11TPUPFP2S4MK,Male,37,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,Asian or Asian-American,Ohio,117766
6/18/2020 12:28:18,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not fair at all,Not acceptable,Not acceptable,Acceptable,Silver,A2QP9ZGIW4R7C2,Female,32,"Bachelor's degree (for example: BA, BS)",No,White,New York,117766
6/18/2020 12:28:30,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,A1AYQ8E01NSY5Z,Male,37,"Bachelor's degree (for example: BA, BS)",No,White,New York,117766
6/18/2020 12:31:48,I agree,It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Not acceptable,Not Acceptable,Silver,A3FNC8ELMK8YJA,Female,58,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,North Carolina,117766
6/18/2020 12:44:35,I agree,It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Acceptable,Acceptable,Silver,A1DMXEJGJY02E1,Female,32,"Bachelor's degree (for example: BA, BS)",No,White,North Carolina,117766
6/18/2020 12:45:18,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,A1N58B1WONOVRH,Female,25,"Bachelor's degree (for example: BA, BS)",Yes,White,Connecticut,117766
6/18/2020 12:48:35,I agree,Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,A1KYE1G3X1TYOA,Male,35,"Bachelor's degree (for example: BA, BS)",Yes,"Black or African American, Other",North Carolina,117766
6/18/2020 12:55:13,I agree,Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Very fair,Acceptable,Acceptable,Acceptable,Silver,A3OMNQ7U5Q3TLA,Male,25,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,New York,
6/18/2020 12:56:27,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Not Acceptable,Silver,ASWGQ7ZC4SZ1G,Female,29,"Bachelor's degree (for example: BA, BS)",No,White,Nevada,117766
6/18/2020 12:59:12,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not very fair,Acceptable,Acceptable,Acceptable,Silver,A382A52MFGZ8KX,Male,44,"Bachelor's degree (for example: BA, BS)",No,White,Colorado,117766
6/18/2020 13:01:12,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,AZUOCNSTEZ6KV,Male,32,"Bachelor's degree (for example: BA, BS)",Yes,Black or African American,Louisiana,117766
6/18/2020 13:15:10,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Very fair,Acceptable,Acceptable,Acceptable,Silver,A24KMVZYFXIVL6,Male,30,"Bachelor's degree (for example: BA, BS)",Yes,Black or African American,California,
6/18/2020 13:17:10,I agree,It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Not Acceptable,Silver,AIHUIAQ4922K3,Male,31,"Bachelor's degree (for example: BA, BS)",No,White,Colorado,117766
6/18/2020 13:21:27,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Not acceptable,Acceptable,Acceptable,Silver,A1KZY3PGLE2OXO,Female,25,"Bachelor's degree (for example: BA, BS)",No,White,Arizona,nice
